ROI,Measure,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12,Subject#13,Subject#14,Subject#15,Subject#16,,Average,Standard error
ROI#4,Between_AV_V,0.459716,-0.049242,0.366202,0.378326,1.040226,-0.285982,-0.489669,-0.627201,0.401793,0.182113,0.311816,-0.211431,-0.076072,0.454136,0.101011,0.337546,,0.143331,0.104722
ROI#4,Between_AV_FW,0.434035,-0.110184,0.373410,0.353143,0.859945,-0.261896,-0.526650,-0.699566,0.335944,0.260048,0.158878,-0.197019,-0.293195,0.343806,0.036775,0.429421,,0.093556,0.102753
ROI#4,Between_FW_N,0.458257,-0.213136,0.085986,0.262072,0.831033,-0.191499,-0.585386,-0.734323,0.324327,0.426705,-0.034379,-0.292089,-0.259407,0.225423,0.040758,0.417674,,0.047626,0.103529
ROI#4,Between_FW_AJ,0.499104,-0.169427,0.336724,0.224739,0.836977,-0.084629,-0.565586,-0.790394,0.137901,0.280701,0.030751,-0.129808,-0.143114,0.292853,-0.013229,0.354611,,0.068636,0.099298
ROI#4,Between_FW_V,0.436953,-0.146784,0.284549,0.343502,0.889505,-0.237781,-0.523459,-0.767198,0.393073,0.331229,0.113864,-0.217049,-0.241419,0.300245,0.025343,0.388115,,0.085793,0.104643
ROI#4,Between_FW_AV,0.434035,-0.110184,0.373410,0.353143,0.859945,-0.261896,-0.526650,-0.699566,0.335944,0.260048,0.158878,-0.197019,-0.293195,0.343806,0.036775,0.429421,,0.093556,0.102753
ROI#5,Within_N,0.160535,-0.023288,-0.312144,0.663214,0.012951,0.356388,-0.135716,0.247313,0.871573,1.001977,0.172165,-0.402414,0.079003,0.199700,0.408722,0.807371,,0.256709,0.102798
ROI#5,Within_AJ,0.134825,-0.136854,-0.062917,0.629548,0.066472,0.192383,-0.387062,0.079745,0.995416,0.975390,0.228880,-0.447634,0.076641,-0.013828,0.521441,1.038206,,0.243166,0.116182
ROI#5,Within_V,0.070115,-0.028496,0.066804,0.669218,0.105685,0.087325,-0.383913,0.078070,0.956443,1.010679,0.333656,-0.342390,0.113039,0.009169,0.461770,1.113874,,0.270066,0.113559
ROI#5,Within_AV,0.095404,0.143543,0.127889,0.689299,0.182839,0.120955,-0.285604,0.060070,1.011591,0.912281,0.317856,-0.315811,0.033944,-0.181341,0.396575,1.230244,,0.283733,0.114155
ROI#5,Within_FW,0.007996,0.133842,0.022765,0.789269,0.236280,-0.109935,-0.637442,-0.002600,1.295735,1.004507,0.277937,-0.292638,0.062609,0.142488,0.413836,1.305282,,0.290621,0.137150
ROI#5,Between_N_AJ,0.151715,-0.091271,-0.162743,0.663258,0.034658,0.265375,-0.263560,0.166208,0.933345,0.952761,0.196254,-0.433792,0.069354,0.092951,0.479470,0.924106,,0.248631,0.107631
ROI#5,Between_N_V,0.127067,-0.035030,-0.127155,0.682367,0.061741,0.215258,-0.222057,0.159754,0.913575,0.991781,0.244635,-0.378754,0.095685,0.113831,0.438652,0.952212,,0.264598,0.105015
ROI#5,Between_N_AV,0.109730,0.067225,-0.079364,0.685271,0.112693,0.226526,-0.222650,0.160810,0.925061,0.940766,0.235794,-0.366190,0.061350,0.020679,0.398126,1.015084,,0.268182,0.104178
ROI#5,Between_N_FW,0.116826,0.036159,-0.155288,0.664672,0.129206,0.098617,-0.352029,0.103418,1.044510,0.990838,0.222097,-0.346613,0.066619,0.165029,0.407685,1.050970,,0.265170,0.112944
ROI#5,Between_AJ_N,0.151715,-0.091271,-0.162743,0.663258,0.034658,0.265375,-0.263560,0.166208,0.933345,0.952761,0.196254,-0.433792,0.069354,0.092951,0.479470,0.924106,,0.248631,0.107631
ROI#5,Between_AJ_V,0.100038,-0.069197,0.020262,0.650469,0.091525,0.138827,-0.416804,0.092251,0.969989,0.972403,0.278117,-0.394405,0.112577,0.005257,0.496246,1.067089,,0.257165,0.113781
ROI#5,Between_AJ_AV,0.118683,0.003493,0.049010,0.653558,0.142836,0.153583,-0.354917,0.074315,1.001699,0.936098,0.271551,-0.383142,0.073996,-0.079313,0.467892,1.137105,,0.266653,0.113750
