ROI#6,N~=Adv,[0.704245;-0.688687],[-0.018589;0.051853],[0.213219;0.647066],[0.164143;0.083484],[-0.004752;0.420917],[-0.129828;0.239600],[0.658485;-0.260213],,[0.226703;0.070574],[0.125303;0.166909],4.235034,(2;5),0.083946
ROI#6,N~=V,[0.466259;0.147629],[0.015591;0.046381],[0.103934;0.232854],[0.095850;-0.025736],[0.029384;0.091532],[-0.160968;0.096563],[0.082166;-0.311426],,[0.090317;0.039685],[0.071390;0.065917],0.743425,(2;5),0.521603
ROI#6,Adj~=Adv,[0.093542;-0.382293],[-0.064069;-0.149988],[0.016182;0.093715],[0.176498;-0.218408],[-0.099294;0.206505],[0.014973;-0.095067],[0.204955;-0.332204],,[0.048969;-0.125391],[0.043527;0.081227],0.993339,(2;5),0.433259
ROI#6,Adj~=V,[-0.056317;0.542149],[0.100897;-0.024673],[0.160629;-0.066766],[0.255061;-0.180773],[0.007007;-0.050714],[0.133928;-0.088010],[-0.226256;-0.238309],,[0.053564;-0.015299],[0.060416;0.097241],0.327529,(2;5),0.735076
ROI#6,Adv~=V,[-0.511255;0.563046],[0.118079;0.078426],[0.238851;-0.066076],[0.018994;-0.021933],[0.184343;-0.179178],[0.005491;-0.106407],[-0.330847;0.194259],,[-0.039478;0.066020],[0.105255;0.094953],0.324022,(2;5),0.737361
ROI#4,Within_N>0,2.951798,1.393002,0.770083,1.283150,0.707084,0.779795,1.239782,,1.303528,0.294549,4.425503,6,0.002222
ROI#4,Within_Adj>0,2.008599,1.168570,0.803232,1.542695,0.550408,0.455338,1.202954,,1.104542,0.209444,5.273697,6,0.000938
ROI#4,Within_Adv>0,1.148788,0.280422,0.236765,1.229157,0.957748,0.187259,0.731287,,0.681632,0.169031,4.032584,6,0.003430
ROI#4,Within_V>0,2.221817,1.299192,0.727497,1.573524,0.335715,1.271321,0.613604,,1.148953,0.243703,4.714566,6,0.001638
ROI#4,Within_N>Between_N_Adj,0.614538,0.244132,-0.042561,0.093415,0.178656,0.088264,0.069061,,0.177929,0.080277,2.216455,6,0.034266
ROI#4,Within_N>Between_N_Adv,1.328029,0.853752,0.716612,0.474737,0.319951,0.406689,0.315286,,0.630722,0.139212,4.530664,6,0.001986
ROI#4,Within_N>Between_N_V,0.327628,0.101294,-0.063458,0.092077,0.162582,-0.260106,0.330000,,0.098574,0.079444,1.240798,6,0.130497
ROI#4,Within_Adj>Between_Adj_N,-0.328661,0.019700,-0.009412,0.352960,0.021979,-0.236192,0.032234,,-0.021056,0.082704,-0.254594,6,0.596231
