Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
,FED_20170823a_3T2,,A,NA,328,328.001580625976,8,8.0014643400209,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
54,FED_20170823a_3T2,,A,37,336,336.003663175972,4,3.99705732800066,Patient,0,active,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square,Base_active_37.jpg,Patient_active_37.jpg,,
55,FED_20170823a_3T2,,A,40,340,340.001347635,10,9.99931132799247,Patient,0,active,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square,Base_active_40.jpg,Patient_active_40.jpg,,N
56,FED_20170823a_3T2,,A,35,350,350.001306372986,4,4.00028145400574,Agent,0,active,Zach Star is bouncing Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_35.jpg,Agent_active_35.jpg,,
,FED_20170823a_3T2,,A,NA,354,354.002216076973,8,8.00055079502636,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
57,FED_20170823a_3T2,,A,26,362,362.003396005981,4,3.99824686301872,Agent,1,passive,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_26.jpg,Agent_passive_26.jpg,,
,FED_20170823a_3T2,,A,NA,366,366.002268668992,2,1.99971462399117,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
58,FED_20170823a_3T2,,A,34,368,368.002601587999,4,3.99865344099817,Agent,0,active,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square,Base_active_34.jpg,Agent_active_34.jpg,,
59,FED_20170823a_3T2,,A,41,372,372.001882271987,4,3.9999934869993,Agent,0,active,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_41.jpg,Agent_active_41.jpg,,
,FED_20170823a_3T2,,A,NA,376,376.00249578798,6,6.00070961701567,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
60,FED_20170823a_3T2,,A,23,382,382.003823218984,4,3.99651420000009,Agent,0,active,Lily Triangle is rolling Zach Star.,Lily,Triangle,Zach,Star,Base_active_23.jpg,Agent_active_23.jpg,,
61,FED_20170823a_3T2,,A,22,386,386.000955464988,4,3.99987856199732,Agent,0,active,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_22.jpg,Agent_active_22.jpg,,
62,FED_20170823a_3T2,,A,5,390,390.001449815987,4,4.00038158299867,Patient,1,passive,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_5.jpg,Patient_passive_5.jpg,,
,FED_20170823a_3T2,,A,NA,394,394.002461044991,4,4.00028943800135,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
63,FED_20170823a_3T2,,A,10,398,398.003372887993,10,9.99706495998544,Agent,0,active,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_10.jpg,Agent_active_10.jpg,,N
,FED_20170823a_3T2,,A,NA,408,408.001068227983,4,4.00069244101178,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
64,FED_20170823a_3T2,,A,35,412,412.002392285998,10,9.99880912597291,Patient,1,passive,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_35.jpg,Patient_passive_35.jpg,,N
65,FED_20170823a_3T2,,A,8,422,422.001842786995,4,3.99904659498134,Agent,0,active,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star,Base_active_8.jpg,Agent_active_8.jpg,,
,FED_20170823a_3T2,,A,NA,426,426.001519727986,4,4.00162650700076,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
66,FED_20170823a_3T2,,A,11,430,430.003769828996,4,3.99720113899093,Agent,1,passive,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_11.jpg,Agent_passive_11.jpg,,
,FED_20170823a_3T2,,A,NA,434,434.001595484995,2,2.00116763499682,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
67,FED_20170823a_3T2,,A,7,436,436.003392335988,4,3.99819041698356,Agent,1,passive,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_7.jpg,Agent_passive_7.jpg,,
68,FED_20170823a_3T2,,A,4,440,440.002221554983,10,9.99815102000139,Agent,0,active,Kyle Square is bouncing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_4.jpg,Agent_active_4.jpg,,N
,FED_20170823a_3T2,,A,NA,450,450.001018813986,2,2.00193549899268,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
69,FED_20170823a_3T2,,A,37,452,452.003583569982,10,9.99817746400367,Agent,1,passive,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square,Base_passive_37.jpg,Agent_passive_37.jpg,,N
70,FED_20170823a_3T2,,A,41,462,462.002410170971,4,3.99890591501025,Patient,1,passive,Lily Triangle is being shaken by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_41.jpg,Patient_passive_41.jpg,,
,FED_20170823a_3T2,,A,NA,466,466.001948455989,2,2.00038399800542,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
71,FED_20170823a_3T2,,A,5,468,468.002947247995,4,3.99814426200464,Patient,0,active,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star,Base_active_5.jpg,Patient_active_5.jpg,,
72,FED_20170823a_3T2,,A,10,472,472.002337428974,4,3.99911803301075,Patient,0,active,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_10.jpg,Patient_active_10.jpg,,
,FED_20170823a_3T2,,A,NA,476,476.002081983985,4,4.00013097398914,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
